year,constituency,state,total_voters_male,total_voters_female,total_voters_other,total_voters,votes_polled_male,votes_polled_female,votes_polled_other,votes_polled_postal,votes_polled_total,turnout_overall_pct,turnout_male_pct,turnout_female_pct,turnout_other_pct,turnout_postal_pct
2014,Nandurbar,Maharashtra,583431.0,530953.0,0.0,1114384.0,399679.84,343656.55,0.0,0,743336.39,66.7,68.51,64.72,0.0,0
2014,Dhule,Maharashtra,540775.0,438455.0,0.0,979230.0,333546.93,241734.55,0.0,0,575281.48,58.75,61.68,55.13,0.0,0
2014,Jalgaon,Maharashtra,550503.0,439312.0,6.0,989821.0,334741.52,241945.43,1.44,0,576688.4,58.26,60.81,55.07,24.0,0
2014,Raver,Maharashtra,555229.0,455617.0,0.0,1010846.0,366391.93,276755.53,0.0,0,643147.46,63.62,65.99,60.74,0.0,0
2014,Buldhana,Maharashtra,535827.0,442565.0,0.0,978392.0,340912.74,261294.2,0.0,0,602206.94,61.55,63.62,59.04,0.0,0
2014,Akola,Maharashtra,543956.0,433633.0,0.0,977589.0,336173.48,238119.91,0.0,0,574293.39,58.75,61.8,54.91,0.0,0
2014,Amravati,Maharashtra,554649.0,446414.0,0.0,1001063.0,363448.91,260910.07,0.0,0,624358.98,62.37,65.53,58.45,0.0,0
2014,Wardha,Maharashtra,553504.0,458674.0,0.0,1012178.0,375361.5,281821.66,0.0,0,657183.16,64.93,67.82,61.44,0.0,0
2014,Ramtek,Maharashtra,576271.0,473007.0,0.0,1049278.0,374905.47,283349.17,0.0,0,658254.64,62.73,65.06,59.9,0.0,0
2014,Nagpur,Maharashtra,578754.0,504850.0,0.0,1083604.0,341938.58,277102.4,0.0,0,619040.98,57.13,59.08,54.89,0.0,0
2019,Nandurbar,Maharashtra,663475.0,614513.0,3.0,1277991.0,465960.15,407643.9,0.41,0,873604.46,68.36,70.23,66.34,13.64,0
2019,Dhule,Maharashtra,590252.0,489597.0,7.0,1079856.0,349382.33,263131.56,2.33,0,612516.23,56.72,59.19,53.74,33.33,0
2019,Jalgaon,Maharashtra,584596.0,495967.0,13.0,1080576.0,336770.3,268381.88,2.64,0,605154.82,56.0,57.61,54.11,20.31,0
2019,Raver,Maharashtra,583456.0,505236.0,1.0,1088693.0,367805.89,300494.79,0.03,0,668300.72,61.39,63.04,59.48,3.45,0
2019,Buldhana,Maharashtra,601170.0,516898.0,1.0,1118069.0,390478.44,319076.94,0.11,0,709555.49,63.46,64.95,61.73,11.11,0
2019,Akola,Maharashtra,607024.0,509871.0,7.0,1116902.0,380778.42,289682.96,1.02,0,670462.4,60.03,62.73,56.81,14.58,0
2019,Amravati,Maharashtra,602099.0,502841.0,7.0,1104947.0,383255.41,285013.08,1.32,0,668269.81,60.48,63.65,56.68,18.92,0
2019,Wardha,Maharashtra,573147.0,494005.0,6.0,1067158.0,367236.12,287529.15,2.0,0,654767.27,61.36,64.07,58.2,33.33,0
2019,Ramtek,Maharashtra,638891.0,553537.0,1.0,1192429.0,408953.4,331383.21,0.03,0,740336.64,62.09,64.01,59.87,3.12,0
2019,Nagpur,Maharashtra,620371.0,561330.0,14.0,1181715.0,350801.88,296157.43,2.55,0,646961.85,54.75,56.55,52.76,18.18,0
2024,Nandurbar,Maharashtra,993949.0,977348.0,27.0,1971324.0,723097.9,669483.38,2.7,0,1392583.98,70.64,72.75,68.5,10.0,0
2024,Dhule,Maharashtra,1055090.0,970138.0,47.0,2025275.0,658165.14,559381.57,7.05,0,1217553.76,60.12,62.38,57.66,15.0,0
2024,Jalgaon,Maharashtra,1043600.0,956717.0,85.0,2000402.0,628142.84,537866.3,15.3,0,1166024.44,58.29,60.19,56.22,18.0,0
2024,Raver,Maharashtra,943768.0,880005.0,54.0,1823827.0,621943.11,548947.12,5.94,0,1170896.17,64.2,65.9,62.38,11.0,0
2024,Buldhana,Maharashtra,937458.0,849613.0,24.0,1787095.0,603535.46,502291.21,2.4,0,1105829.07,61.88,64.38,59.12,10.0,0
2024,Akola,Maharashtra,981257.0,913355.0,45.0,1894657.0,634088.27,534221.34,4.95,0,1168314.56,61.66,64.62,58.49,11.0,0
2024,Amravati,Maharashtra,946804.0,891878.0,85.0,1838767.0,631991.67,537178.12,15.3,0,1169185.09,63.59,66.75,60.23,18.0,0
2024,Wardha,Maharashtra,859907.0,824371.0,14.0,1684292.0,586886.53,504515.05,1.26,0,1091402.84,64.8,68.25,61.2,9.0,0
2024,Ramtek,Maharashtra,1046680.0,1004220.0,52.0,2050952.0,666525.82,583652.66,3.12,0,1250181.61,60.96,63.68,58.12,6.0,0
2024,Nagpur,Maharashtra,1114033.0,1110026.0,223.0,2224282.0,628983.03,578767.56,62.44,0,1207813.03,54.3,56.46,52.14,28.0,0
